,단어,부정,긍정
0,[UNK],0.0003705602,-0.030243069
1,[PAD],0.007252332,0.07907872
2,[CLS],-0.004254489,0.012008083
3,[SEP],0.022834076,-0.0022699954
4,[MASK],-0.05808908,0.004298346
5,!,0.02348212,-0.027359322
6,!',0.005818073,-0.017326092
7,!”,-0.011907623,-0.000592893
8,"""",0.0462198,0.006126363
9,#,0.024104342,-0.080420054
10,$,0.0017448924,-0.030194245
11,%,-0.04236856,0.0335186
12,%),-0.018673308,-0.012290485
13,&,-0.01906082,-0.030836385
14,&#34;,0.022519171,-0.005486333
15,',-0.0020129117,-0.010731313
16,'(,0.03797481,-0.0062834444
17,"',",-0.007912169,-0.005151825
18,(,-0.013158951,0.0056016855
19,(0,0.016531028,-0.01643032
20,(1,0.0022396706,-0.036822576
21,(10,-0.00024153525,-0.013193165
22,(12,-0.00039445376,-0.03688821
23,(15,0.02492401,-0.021739531
24,(17,0.026043054,-0.03270933
25,(18,0.040666834,-0.011626745
26,(19,0.012394429,-0.03414404
27,(2,0.023141589,-0.009402517
28,(20,0.0076596,-0.025050681
29,(23,-0.008920571,-0.013407262
30,(24,0.021550572,-0.04242357
31,(25,-0.023903316,-0.03165036
32,(3,-0.014888119,0.0020250063
33,(4,0.012564696,-0.0053061023
34,(5,-0.006202574,0.015403134
35,(6,0.014489932,-0.024665326
36,(7,0.031076845,0.002690971
37,(8,0.04837565,-0.01694667
38,(9,0.009311039,0.0037076715
39,(?),0.0017093366,-0.024318513
40,),-0.032266088,0.021084901
41,)',0.02306178,0.009557575
42,"),",0.021192946,0.0009930548
43,)’,-0.020911984,-0.0166891
44,*,-0.028417408,-0.015591286
45,+,0.045927312,0.055555888
46,",",-0.014659218,0.022438455
47,-,0.010230875,-0.057935856
48,----------------,-0.004738463,-0.013873208
49,-1,-0.0023132395,-0.018683026
50,-2,0.023283038,-0.017645333
51,-20,0.0005089524,-0.033847414
52,-3,-0.0013657976,-0.03856982
53,-4,0.012469411,-0.018887877
54,.,0.014877625,0.04985832
55,...,0.01696287,0.007041076
56,"...""",0.00049546966,-0.028373314
57,...',0.020220919,-0.0164223
58,...”,-0.002171659,0.018261684
59,/,0.020817969,0.044158928
60,0,0.012468211,0.026800763
61,0%,-0.0034251427,-0.0014851652
62,0%),0.009388307,-0.020201877
63,0.0,-0.0063560037,-0.012473553
64,0.00,0.0048407707,-0.021235099
65,0.1,0.008600519,-0.036350057
66,0.1%,-0.00016847253,-0.01744533
67,0.2%,0.013053478,-0.022261655
68,0.3,0.011311229,-0.049852725
69,0.3%,0.040901687,0.0150400875
70,0.4%,0.0012116563,-0.018659048
71,0.5,0.026427936,-0.013510361
72,0.5%,0.0029411735,0.017029768
73,0.6,0.03166209,-0.022972036
74,0.6%,0.023118023,-0.037810106
75,0.7,0.006832237,-0.0036639236
76,0.7%,-0.0035567759,-0.008063326
77,0.8,0.021115847,-0.019138882
78,0.8%,0.035653993,-0.01592926
79,00,0.011479524,-0.0023627449
80,000.0,-0.0017756987,-0.04994468
81,00000,0.114545986,0.024967225
82,01,-0.03887724,0.034658335
83,02,0.019738344,-0.009632543
84,02-,0.026004212,-0.017705383
85,03,0.0023497161,-0.013651767
86,04,0.017772974,0.026885288
87,05,-0.0016123774,0.0035624122
88,06,0.021571208,0.0026421826
89,07,-0.009034861,-0.021227866
90,08,-0.02404485,0.0032501006
91,09,0.003754966,0.034544684
92,0:00:00,-0.0027857963,-0.025419392
93,1,-0.0146486,0.041689724
94,1%,-0.015325117,-0.016162459
95,1%),0.03391223,0.012414409
96,1),6.271526e-06,-0.028512385
97,"1,000",0.009979431,-0.014487252
98,1.3%,0.032617718,-0.02452403
99,1.4%,0.035593264,-0.020217901
100,1.5%,-0.01217629,-0.025785785
101,1.6,0.0139470445,0.0044525852
102,1.6%,0.00051675923,-0.0083672535
103,1.7%,0.015986558,-0.012448299
104,1.8,0.032847386,-0.01996065
105,10,-0.022408342,0.03508528
106,100,-0.001311278,0.03763152
107,1000,-0.009916492,0.070873864
108,11,-0.03620196,0.019534387
109,12,0.0020693797,0.023626925
110,13,0.02795513,0.031989925
111,14,-0.0074391756,0.010742181
112,15,-0.021665188,0.027916253
113,16,-0.027172446,-0.014704188
114,17,-0.020970074,0.024026938
115,18,-0.03200773,0.009542932
116,19,0.019411314,0.008212611
117,1⁄2,-0.033721924,-0.014211063
118,1⁄4,-0.06126456,-0.011053821
119,2,-0.030544408,0.037607204
120,2%,-0.0015302065,-0.03516055
121,2),-0.009824982,0.009839268
122,2.0,0.0031587696,-0.027986214
123,2.3%,-0.0013891906,-0.019207718
124,2.5,0.003041247,-0.00023186766
125,2.5%,0.012039604,-0.010918001
126,2.8%,0.027240619,0.0012395622
127,20,0.02083876,0.040035233
128,200,0.010324346,-0.013183212
129,2000,-0.00511764,0.03506803
130,2011,0.03511638,0.013799631
131,2012,0.031305276,-0.032612212
132,2013,0.01612058,-0.027460549
133,21,-0.004639727,0.03618413
134,22,0.012434692,-0.0049142707
135,23,0.023425864,0.018758597
136,24,0.04448654,-0.032144673
137,25,0.021861458,0.044130426
138,26,0.01782382,0.052850764
139,27,0.008818438,-0.008510423
140,28,0.008457812,0.0026800847
141,29,-0.015992096,0.017460069
142,3,-0.011262593,0.055305324
143,3%,-0.0011376813,-0.006426365
144,30,-0.013160418,0.04050474
145,300,0.044152103,0.025262
146,3000,-0.009142431,0.066885546
147,31,0.032893043,0.012336707
148,32,0.011769711,-0.02407299
149,33,0.01489374,-0.04019689
150,34,0.022718336,-0.044859253
151,35,-0.006330494,0.027126217
152,36,0.02744885,0.00034543686
153,37,-0.0058710612,0.00034874398
154,38,0.024843886,-0.024009649
155,39,0.025005229,-0.030111495
156,3⁄4,-0.031841,-0.023286184
157,4,0.0012642131,0.02860342
158,4%,-0.008659147,-0.034429353
159,4%),-0.015314983,-0.037830457
160,40,-0.0070862332,-0.011133768
161,400,0.012562407,0.011482522
162,4000,-0.015840363,0.018686635
163,41,-0.028211385,-0.00020947214
164,42,-0.0039716423,-0.014616744
165,43,-0.026696056,-0.0077950098
166,44,-0.033198733,-0.01918285
167,45,-0.038229167,-0.009459842
168,46,-0.0468211,-0.007696747
169,47,-0.018738626,-0.018677494
170,48,0.010175812,-0.027227767
171,49,-0.027906097,-0.007871954
172,5,-0.014723774,0.04745028
173,5%,-0.007205344,-0.03171648
174,5%),0.0061073164,-0.042483047
175,"5,000",-0.00080975797,-0.01556453
176,50,0.0024396516,0.035044543
177,500,0.010542579,0.031796627
178,5000,-0.0064430293,0.042704586
179,51,-0.025561621,-0.012145312
180,52,0.010719109,0.0049968073
181,53,0.00849531,0.005311653
182,54,0.0006930055,-0.011983702
183,55,0.02106426,0.035273388
184,56,-0.016744712,0.02442823
185,57,-0.017416459,0.030373089
186,58,-0.011968974,0.00512933
187,59,0.013744166,-0.005393934
188,6,0.0019057654,0.05762795
189,6%,-0.02972404,-0.016070824
190,60,0.021483129,0.029036362
191,600,0.016468426,0.0014662502
192,6000,-0.019685246,0.03494437
193,61,-0.006708527,-0.004859439
194,62,0.013478397,0.017786505
195,63,-0.020373983,-0.015846664
196,64,0.015860641,-0.024230573
197,65,0.019903379,0.025020467
198,66,0.028478865,0.003921544
199,67,0.009745652,0.01448125
200,68,0.003367853,0.0063506234
201,69,0.009956706,0.016941776
202,7,0.0059920307,0.0390147
203,7%,0.022911895,-0.03504861
204,7%),0.01469795,-0.0053030383
205,7.0,0.014586907,-0.006302437
206,7.5%,-0.010573568,-0.046369843
207,70,0.035932012,0.026666487
208,700,0.0036531277,0.0053222664
209,7000,-0.019115636,0.042200677
210,71,0.01358915,-0.006522048
211,72,0.036336754,0.031343427
212,73,0.03323788,0.0019211061
213,74,0.0046873614,-0.03792287
214,75,0.014404949,0.031731956
215,76,-0.0046335002,0.0056503117
216,77,0.00034572207,-0.04286381
217,78,0.035296462,0.0003526369
218,79,0.02173823,0.006974212
219,8,-0.02390963,0.051938813
220,8%,-0.0052843085,-0.026795771
221,8%),-0.0068319384,-0.027845122
222,80,0.026154414,0.025020948
223,800,-0.013993548,0.0036901776
224,8000,-0.03398511,0.03704532
225,81,0.019400965,-0.004934564
226,82,0.05922234,-0.040033862
227,83,-0.016811753,-0.007558517
228,84,0.046643328,-0.013254186
229,85,0.023457188,0.03585671
230,86,0.03181962,-0.0051065404
231,87,0.04507961,0.0022855382
232,88,-0.002929857,-0.035744295
233,89,0.060230486,0.015685488
234,9,-0.01165928,0.06228359
235,9%,0.018444255,-0.0032602157
236,9%),0.015115328,0.008141742
237,90,0.022343827,0.04746274
238,900,-0.023810424,0.024885267
239,9000,-0.022431493,0.056163676
240,91,0.0028386428,0.025023464
241,92,0.039948564,0.0039725555
242,93,0.060194492,0.0022548847
243,94,0.038013957,-0.03384927
244,95,0.04338108,-0.0041356627
245,96,0.023220226,-0.0018096622
246,97,0.059652865,-0.0015326191
247,98,0.04507888,-0.0012909719
248,99,0.03403334,0.0014203163
249,:,-0.012461829,-0.02157776
250,://,0.039141193,-0.0048650596
251,:00,0.0059696203,-0.0028008292
252,;,0.09177619,0.01337256
253,<,0.0940772,-0.033959813
254,=,0.031699672,-0.016671445
255,"=""""",0.038842894,-0.013724776
256,"="""">",-0.015756257,0.00023549516
257,>,0.0052929902,-0.037074026
258,?,0.043444883,-0.0033745207
259,"?""",0.03930195,0.0030510826
260,??,-0.0026607397,0.014496079
261,???,0.0029645688,-0.017090298
262,????,-0.015679885,-0.035967465
263,?”,-0.03341215,-0.030525893
264,A,0.011198854,0.032227747
265,AM,-0.04693509,-0.048235636
266,AP,-0.018840611,-0.050787654
267,AR,-0.028312676,-0.018678276
